colonia,area_km2,bike_stations,parking_count
CUAUHTÉMOC,9.52,18,9
JUÁREZ,13.04,24,10
ROMA NORTE,19.21,37,187
CONDESA,5.35,13,16
HIPÓDROMO,7.27,19,132
HIPÓDROMO CONDESA,1.75,5,11
DOCTORES,2.36,5,1
ROMA SUR,9.88,16,1
ESCANDÓN,6.31,13,4
BOSQUE DE CHAPULTEPEC,2.22,4,1
GRANADA,4.52,8,3
POLANCO,38.63,45,370
ANZURES,3.18,9,101
DEL VALLE NORTE,6.69,17,1
NÁPOLES,3.74,14,127
SAN PEDRO DE LOS PINOS,3.5,10,2
DEL VALLE CENTRO,8.53,16,1
AMPLIACIÓN NÁPOLES,2.63,4,32
INSURGENTES SAN BORJA,0.86,3,9
CIUDAD DE LOS DEPORTES,2.41,6,46
NOCHE BUENA,1.09,2,14
EXTREMADURA INSURGENTES,1.47,4,27
TLACOQUEMÉCATL DEL VALLE,2.65,7,2
INSURGENTES MIXCOAC,2.66,9,114
ACTIPAN,2.07,7,97
ACACIAS,1.54,4,66
LOMAS DE CHAPULTEPEC SECCIÓN IV/LOMAS VIRREYES,0.26,2,47
LOMAS DE CHAPULTEPEC SECCIÓN V,0.94,2,124
LOMAS DE CHAPULTEPEC SECCIÓN III,0.19,2,8
POLANCO SECCIÓN I/ LOS MORALES,0.0,1,17
IRRIGACIÓN,1.13,2,5
VERÓNICA ANZURES,1.28,5,8
