colonia,area_km2,bike_stations
CUAUHTÉMOC,9.520874724146365,18
TABACALERA,2.8675924985451355,7
JUÁREZ,13.035714856889841,24
CENTRO,21.14891505051085,31
ROMA NORTE,19.21448988302513,37
CONDESA,5.346357422102161,13
HIPÓDROMO,7.268793585676558,19
HIPÓDROMO CONDESA,1.7486761118553642,5
SAN RAFAEL,6.360494449970078,12
DOCTORES,2.3636920638059333,5
ROMA SUR,9.884028375915978,16
ESCANDÓN,6.309820631731197,13
BUENAVISTA,1.544809806769498,12
SAN MIGUEL CHAPULTEPEC,3.7657181016489876,8
BOSQUE DE CHAPULTEPEC,2.21671787826614,4
GRANADA,4.524362586546501,8
POLANCO,38.625989536587596,45
ANZURES,3.1782600970561843,9
NARVARTE PONIENTE,6.47661373450816,15
DEL VALLE NORTE,6.694316358903137,17
NÁPOLES,3.7400932909695177,14
SAN PEDRO DE LOS PINOS,3.4975000211448126,10
DEL VALLE CENTRO,8.52615572906744,16
AMPLIACIÓN NÁPOLES,2.6274297397010558,4
INSURGENTES SAN BORJA,0.8586501770650548,3
CIUDAD DE LOS DEPORTES,2.413590180097717,6
NONOALCO,0.7203945891716703,3
NOCHE BUENA,1.0905611037855365,2
EXTREMADURA INSURGENTES,1.4667587125647366,4
TLACOQUEMÉCATL DEL VALLE,2.649625298478729,7
DEL VALLE SUR,8.08888592272544,18
LETRÁN VALLE,0.699362560502327,2
INSURGENTES MIXCOAC,2.661080774578968,9
ACTIPAN,2.0741595902144585,7
SANTA CRUZ ATOYAC,5.430932538702358,11
PORTALES NORTE,0.7466688294767726,2
RESIDENCIAL EMPERADORES,0.41225382971733143,2
CENTRO URBANO PRESIDENTE ALEMÁN,0.0,1
ACACIAS,1.543285881203949,4
XOCO,1.712042185478189,4
GENERAL PEDRO MARÍA ANAYA,2.2980766332036104,7
LOMAS DE CHAPULTEPEC SECCIÓN IV/LOMAS VIRREYES,0.25836079971838277,2
MOLINO DEL REY,0.0,1
LOMAS DE CHAPULTEPEC SECCIÓN V,0.9360109752459352,2
LOMAS DE CHAPULTEPEC SECCIÓN III,0.18710497791688022,2
POLANCO SECCIÓN I/ LOS MORALES,0.0,1
IRRIGACIÓN,1.1285506948364736,2
AMPLIACIÓN GRANADA,0.5847847952723068,2
CUAUHTÉMOC PENSIL,0.0,1
MODELO PENSIL,0.0,1
ANÁHUAC I SECCIÓN,1.8429757366476902,5
VERÓNICA ANZURES,1.2802077514739216,5
MARIANO ESCOBEDO,0.5542290841506954,2
