colonia,parking_count
CIUDAD DE LOS DEPORTES,46
NOCHE BUENA,14
EXTREMADURA INSURGENTES,27
ACTIPAN,97
INSURGENTES MIXCOAC,114
TLACOQUEMÉCATL DEL VALLE,2
ANZURES,101
POLANCO,370
VERÓNICA ANZURES,8
CUAUHTÉMOC,9
BOSQUE DE CHAPULTEPEC,1
GRANADA,3
POLANCO SECCIÓN I/ LOS MORALES,17
IRRIGACIÓN,5
LOMAS DE CHAPULTEPEC SECCIÓN V,124
LOMAS DE CHAPULTEPEC SECCIÓN III,8
LOMAS DE CHAPULTEPEC SECCIÓN IV/LOMAS VIRREYES,47
ROMA NORTE,187
DOCTORES,1
JUÁREZ,10
CONDESA,16
HIPÓDROMO,132
HIPÓDROMO CONDESA,11
ESCANDÓN,4
ROMA SUR,1
ACACIAS,66
SAN PEDRO DE LOS PINOS,2
AMPLIACIÓN NÁPOLES,32
NÁPOLES,127
DEL VALLE NORTE,1
INSURGENTES SAN BORJA,9
DEL VALLE CENTRO,1
