episode_id,title,title_link,date,prod_code
1,Cartman Gets an Anal Probe,https://en.wikipedia.org/wiki/Cartman_Gets_an_Anal_Probe,1997-08-13,101
2,Volcano,https://en.wikipedia.org/wiki/Volcano_(South_Park),1997-08-20,103
3,Weight Gain 4000,https://en.wikipedia.org/wiki/Weight_Gain_4000,1997-08-27,102
4,Big Gay Al's Big Gay Boat Ride,https://en.wikipedia.org/wiki/Big_Gay_Al%27s_Big_Gay_Boat_Ride,1997-09-03,104
5,An Elephant Makes Love to a Pig,https://en.wikipedia.org/wiki/An_Elephant_Makes_Love_to_a_Pig,1997-09-10,105
6,Death,https://en.wikipedia.org/wiki/Death_(South_Park),1997-09-17,106
7,Pinkeye,https://en.wikipedia.org/wiki/Pinkeye_(South_Park),1997-10-29,107
8,Starvin' Marvin,https://en.wikipedia.org/wiki/Starvin%27_Marvin,1997-11-19,109
9,"Mr. Hankey, the Christmas Poo","https://en.wikipedia.org/wiki/Mr._Hankey,_the_Christmas_Poo",1997-12-17,110
10,Damien,https://en.wikipedia.org/wiki/Damien_(South_Park),1998-02-04,108
11,Tom's Rhinoplasty,https://en.wikipedia.org/wiki/Tom%27s_Rhinoplasty,1998-02-11,111
12,Mecha-Streisand,https://en.wikipedia.org/wiki/Mecha-Streisand,1998-02-18,112
13,Cartman's Mom Is a Dirty Slut,https://en.wikipedia.org/wiki/Cartman%27s_Mom_Is_a_Dirty_Slut,1998-02-25,113
14,Terrance and Phillip in Not Without My Anus,https://en.wikipedia.org/wiki/Terrance_and_Phillip_in_Not_Without_My_Anus,1998-04-01,201
15,Cartman's Mom Is Still a Dirty Slut,https://en.wikipedia.org/wiki/Cartman%27s_Mom_Is_Still_a_Dirty_Slut,1998-04-22,202
16,Ike's Wee Wee,https://en.wikipedia.org/wiki/Ike%27s_Wee_Wee,1998-05-20,204
17,Chickenlover,https://en.wikipedia.org/wiki/Chickenlover,1998-05-27,203
18,Conjoined Fetus Lady,https://en.wikipedia.org/wiki/Conjoined_Fetus_Lady,1998-06-03,205
19,The Mexican Staring Frog of Southern Sri Lanka,https://en.wikipedia.org/wiki/The_Mexican_Staring_Frog_of_Southern_Sri_Lanka,1998-06-10,206
20,City on the Edge of Forever,https://en.wikipedia.org/wiki/City_on_the_Edge_of_Forever_(South_Park),1998-06-17,207
21,Summer Sucks,https://en.wikipedia.org/wiki/Summer_Sucks,1998-06-24,208
22,Chef's Chocolate Salty Balls,https://en.wikipedia.org/wiki/Chef%27s_Chocolate_Salty_Balls,1998-08-19,209
23,Chickenpox,https://en.wikipedia.org/wiki/Chickenpox_(South_Park),1998-08-26,210
24,Roger Ebert Should Lay Off the Fatty Foods,https://en.wikipedia.org/wiki/Roger_Ebert_Should_Lay_Off_the_Fatty_Foods,1998-09-02,211
25,Clubhouses,https://en.wikipedia.org/wiki/Clubhouses_(South_Park),1998-09-23,212
26,Cow Days,https://en.wikipedia.org/wiki/Cow_Days,1998-09-30,213
27,Chef Aid,https://en.wikipedia.org/wiki/Chef_Aid,1998-10-07,214
28,Spookyfish,https://en.wikipedia.org/wiki/Spookyfish,1998-10-28,215
29,"Merry Christmas, Charlie Manson!","https://en.wikipedia.org/wiki/Merry_Christmas,_Charlie_Manson!",1998-12-09,216
30,Gnomes,https://en.wikipedia.org/wiki/Gnomes_(South_Park),1998-12-16,217
31,Prehistoric Ice Man,https://en.wikipedia.org/wiki/Prehistoric_Ice_Man,1999-01-20,218
32,Rainforest Shmainforest,https://en.wikipedia.org/wiki/Rainforest_Shmainforest,1999-04-07,301
33,Spontaneous Combustion,https://en.wikipedia.org/wiki/Spontaneous_Combustion_(South_Park),1999-04-14,302
34,Succubus,https://en.wikipedia.org/wiki/Succubus_(South_Park),1999-04-21,303
35,Jakovasaurs,https://en.wikipedia.org/wiki/Jakovasaurs,1999-06-16,305
36,Tweek vs. Craig,https://en.wikipedia.org/wiki/Tweek_vs._Craig,1999-06-23,304
37,Sexual Harassment Panda,https://en.wikipedia.org/wiki/Sexual_Harassment_Panda,1999-07-07,306
38,Cat Orgy,https://en.wikipedia.org/wiki/Cat_Orgy,1999-07-14,307
39,Two Guys Naked in a Hot Tub,https://en.wikipedia.org/wiki/Two_Guys_Naked_in_a_Hot_Tub,1999-07-21,308
40,Jewbilee,https://en.wikipedia.org/wiki/Jewbilee,1999-07-28,309
41,Korn's Groovy Pirate Ghost Mystery,https://en.wikipedia.org/wiki/Korn%27s_Groovy_Pirate_Ghost_Mystery,1999-10-27,312
42,Chinpokomon,https://en.wikipedia.org/wiki/Chinpokomon,1999-11-03,310
43,Hooked on Monkey Fonics,https://en.wikipedia.org/wiki/Hooked_on_Monkey_Fonics,1999-11-10,313
44,Starvin' Marvin in Space,https://en.wikipedia.org/wiki/Starvin%27_Marvin_in_Space,1999-11-17,311
45,The Red Badge of Gayness,https://en.wikipedia.org/wiki/The_Red_Badge_of_Gayness,1999-11-24,314
46,Mr. Hankey's Christmas Classics,https://en.wikipedia.org/wiki/Mr._Hankey%27s_Christmas_Classics,1999-12-01,315
47,"Are You There God? It's Me, Jesus","https://en.wikipedia.org/wiki/Are_You_There_God%3F_It%27s_Me,_Jesus",1999-12-29,316
48,World Wide Recorder Concert,https://en.wikipedia.org/wiki/World_Wide_Recorder_Concert,2000-01-12,317
49,The Tooth Fairy's Tats 2000,https://en.wikipedia.org/wiki/The_Tooth_Fairy%27s_Tats_2000,2000-04-05,402
50,Cartman's Silly Hate Crime 2000,https://en.wikipedia.org/wiki/Cartman%27s_Silly_Hate_Crime_2000,2000-04-12,401
51,Timmy 2000,https://en.wikipedia.org/wiki/Timmy_2000,2000-04-19,404
52,Quintuplets 2000,https://en.wikipedia.org/wiki/Quintuplets_2000,2000-04-26,403
53,Cartman Joins NAMBLA,https://en.wikipedia.org/wiki/Cartman_Joins_NAMBLA,2000-06-21,406
54,Cherokee Hair Tampons,https://en.wikipedia.org/wiki/Cherokee_Hair_Tampons,2000-06-28,407
55,Chef Goes Nanners,https://en.wikipedia.org/wiki/Chef_Goes_Nanners,2000-07-05,408
56,Something You Can Do with Your Finger,https://en.wikipedia.org/wiki/Something_You_Can_Do_with_Your_Finger,2000-07-12,409
57,Do the Handicapped Go to Hell?,https://en.wikipedia.org/wiki/Do_the_Handicapped_Go_to_Hell%3F,2000-07-19,410
58,Probably,https://en.wikipedia.org/wiki/Probably_(South_Park),2000-07-26,411
59,Fourth Grade,https://en.wikipedia.org/wiki/Fourth_Grade_(South_Park),2000-11-08,412
60,Trapper Keeper,https://en.wikipedia.org/wiki/Trapper_Keeper_(South_Park),2000-11-15,413
61,Helen Keller! The Musical,https://en.wikipedia.org/wiki/Helen_Keller!_The_Musical,2000-11-22,414
62,Pip,https://en.wikipedia.org/wiki/Pip_(South_Park),2000-11-29,405
63,Fat Camp,https://en.wikipedia.org/wiki/Fat_Camp_(South_Park),2000-12-06,415
64,The Wacky Molestation Adventure,https://en.wikipedia.org/wiki/The_Wacky_Molestation_Adventure,2000-12-13,416
65,A Very Crappy Christmas,https://en.wikipedia.org/wiki/A_Very_Crappy_Christmas,2000-12-20,417
66,It Hits the Fan,https://en.wikipedia.org/wiki/It_Hits_the_Fan,2001-06-20,502
67,Cripple Fight,https://en.wikipedia.org/wiki/Cripple_Fight,2001-06-27,503
68,Super Best Friends,https://en.wikipedia.org/wiki/Super_Best_Friends,2001-07-04,504
69,Scott Tenorman Must Die,https://en.wikipedia.org/wiki/Scott_Tenorman_Must_Die,2001-07-11,501
70,Terrance and Phillip: Behind the Blow,https://en.wikipedia.org/wiki/Terrance_and_Phillip:_Behind_the_Blow,2001-07-18,505
71,Cartmanland,https://en.wikipedia.org/wiki/Cartmanland,2001-07-25,506
72,Proper Condom Use,https://en.wikipedia.org/wiki/Proper_Condom_Use,2001-08-01,507
73,Towelie,https://en.wikipedia.org/wiki/Towelie,2001-08-08,508
74,Osama bin Laden Has Farty Pants,https://en.wikipedia.org/wiki/Osama_bin_Laden_Has_Farty_Pants,2001-11-07,509
75,How to Eat with Your Butt,https://en.wikipedia.org/wiki/How_to_Eat_with_Your_Butt,2001-11-14,510
76,The Entity,https://en.wikipedia.org/wiki/The_Entity_(South_Park),2001-11-21,511
77,Here Comes the Neighborhood,https://en.wikipedia.org/wiki/Here_Comes_the_Neighborhood,2001-11-28,512
78,Kenny Dies,https://en.wikipedia.org/wiki/Kenny_Dies,2001-12-05,513
79,Butters' Very Own Episode,https://en.wikipedia.org/wiki/Butters%27_Very_Own_Episode,2001-12-12,514
80,Jared Has Aides,https://en.wikipedia.org/wiki/Jared_Has_Aides,2002-03-06,602
81,Asspen,https://en.wikipedia.org/wiki/Asspen,2002-03-13,603
82,Freak Strike,https://en.wikipedia.org/wiki/Freak_Strike,2002-03-20,601
83,Fun with Veal,https://en.wikipedia.org/wiki/Fun_with_Veal,2002-03-27,605
84,The New Terrance and Phillip Movie Trailer,https://en.wikipedia.org/wiki/The_New_Terrance_and_Phillip_Movie_Trailer,2002-04-03,604
85,Professor Chaos,https://en.wikipedia.org/wiki/Professor_Chaos,2002-04-10,606
86,Simpsons Already Did It,https://en.wikipedia.org/wiki/Simpsons_Already_Did_It,2002-06-26,607
87,Red Hot Catholic Love,https://en.wikipedia.org/wiki/Red_Hot_Catholic_Love,2002-07-03,608
88,Free Hat,https://en.wikipedia.org/wiki/Free_Hat,2002-07-10,609
