title_link,summary,mentioned_character_ids
https://en.wikipedia.org/wiki/South_Park:_Joining_the_Panderverse,"<p>""<b>South Park: Joining the Panderverse</b>"" is a 2023 American <a href=""/wiki/Adult_animation"" title=""Adult animation"">adult animated</a> <a href=""/wiki/Television_comedy"" title=""Television comedy"">comedy</a> <a href=""/wiki/Television_special"" title=""Television special"">television special</a> episode. It is the fifth <i><a href=""/wiki/South_Park"" title=""South Park"">South Park</a></i> television special, and the 326th episode of the series overall. The special premiered on October 27, 2023 on <a href=""/wiki/Paramount%2B"" title=""Paramount+"">Paramount+</a>.<sup id=""cite_ref-Deadline10.11.23_1-0"" class=""reference""><a href=""#cite_note-Deadline10.11.23-1"">[1]</a></sup><sup id=""cite_ref-Variety_2-0"" class=""reference""><a href=""#cite_note-Variety-2"">[2]</a></sup><sup id=""cite_ref-reporter_3-0"" class=""reference""><a href=""#cite_note-reporter-3"">[3]</a></sup><sup id=""cite_ref-CC_4-0"" class=""reference""><a href=""#cite_note-CC-4"">[4]</a></sup> 
</p>","['Stan', 'Kyle', 'Eric', 'Kenny', 'Butters', 'Randy', 'Gerald', 'Liane', 'Mr. Mackey', 'Jimmy', 'Tolkien', 'Wendy', 'Clyde', 'Craig', 'Timmy', 'Mayor', 'Chef', 'Mr. Hankey', 'Sheila']"
https://en.wikipedia.org/wiki/Spontaneous_Combustion_(South_Park),"<p>""<b>Spontaneous Combustion</b>"" is the second episode of the <a href=""/wiki/South_Park_season_3"" title=""South Park season 3"">third season</a> of the American animated television series <i><a href=""/wiki/South_Park"" title=""South Park"">South Park</a></i>, and is the 33rd episode overall. It originally aired in the United States on April 14, 1999.
</p>","['Stan', 'Kyle', 'Eric', 'Kenny', 'Randy', 'Gerald', 'Liane', 'Herbert', 'Craig', 'Tweek', 'Sharon', 'Officer Barbrady', 'Jesus', 'Mayor', 'Chef', 'Mr. Hankey', 'Pete', 'Sheila']"
https://en.wikipedia.org/wiki/The_Losing_Edge,"<p>""<b>The Losing Edge</b>"" is the fifth episode in the <a href=""/wiki/South_Park_season_9"" title=""South Park season 9"">ninth season</a> of the American <a href=""/wiki/Cartoon_series"" class=""mw-redirect"" title=""Cartoon series"">animated television series</a> <i><a href=""/wiki/South_Park"" title=""South Park"">South Park</a></i>, and the 130th episode of the series overall. It originally aired on <a href=""/wiki/Comedy_Central"" title=""Comedy Central"">Comedy Central</a> in the United States on April 6, 2005.
</p>","['Stan', 'Kyle', 'Eric', 'Kenny', 'Butters', 'Randy', 'Sharon']"
https://en.wikipedia.org/wiki/The_Ungroundable,"<p>""<b>The Ungroundable</b>"" is the 14th and final episode of the <a href=""/wiki/South_Park_season_12"" title=""South Park season 12"">12th season</a> of the American <a href=""/wiki/Animated_cartoon"" class=""mw-redirect"" title=""Animated cartoon"">animated series</a> <i><a href=""/wiki/South_Park"" title=""South Park"">South Park</a></i>,<sup id=""cite_ref-1"" class=""reference""><a href=""#cite_note-1"">[1]</a></sup> and the 181st episode of the series overall. It originally aired on <a href=""/wiki/Comedy_Central"" title=""Comedy Central"">Comedy Central</a> in the <a href=""/wiki/United_States"" title=""United States"">United States</a> on November 19, 2008. This is the last episode of <i>South Park</i> to be broadcast in <a href=""/wiki/480i"" title=""480i"">480i</a> <a href=""/wiki/Standard_definition"" class=""mw-redirect"" title=""Standard definition"">standard definition</a>. The episode was rated <a href=""/wiki/TV-MA_L"" class=""mw-redirect"" title=""TV-MA L"">TV-MA L</a> in the United States. The episode spoofs vampire films including the <i><a href=""/wiki/Twilight_(novel_series)"" title=""Twilight (novel series)"">Twilight</a></i> craze and <i><a href=""/wiki/The_Lost_Boys"" title=""The Lost Boys"">The Lost Boys</a></i>, where <a href=""/wiki/Butters_Stotch"" title=""Butters Stotch"">Butters</a> believes that he sees vampires in the school.
</p>","['Stan', 'Eric', 'Butters', 'Stephen', 'Scott']"
https://en.wikipedia.org/wiki/Member_Berries,"<p>""<b>Member Berries</b>"" is the first episode in the <a href=""/wiki/South_Park_season_20"" title=""South Park season 20"">twentieth season</a> of the American animated television series <i><a href=""/wiki/South_Park"" title=""South Park"">South Park</a></i>. The 268th episode of the series overall, it premiered on <a href=""/wiki/Comedy_Central"" title=""Comedy Central"">Comedy Central</a> in the United States on September 14, 2016.
</p>","['Stan', 'Kyle', 'Eric', 'Randy', 'Gerald', 'PC Principal', 'Sharon', 'Carol', 'Stephen', 'Linda', 'Sheila']"
https://en.wikipedia.org/wiki/Douche_and_a_Danish,"<p>""<b>Douche and a Danish</b>"" is the fifth episode in the <a href=""/wiki/South_Park_season_20"" title=""South Park season 20"">twentieth season</a> of the American animated television series <i><a href=""/wiki/South_Park"" title=""South Park"">South Park</a></i>. The 272nd episode of the series overall, it first aired on <a href=""/wiki/Comedy_Central"" title=""Comedy Central"">Comedy Central</a> in the United States on October 19, 2016.
</p>","['Eric', 'Randy', 'Gerald', 'Heidi', 'Sharon', 'Sheila']"
https://en.wikipedia.org/wiki/Sexual_Harassment_Panda,"<p>""<b>Sexual Harassment Panda</b>"" is the sixth episode of the <a href=""/wiki/South_Park_season_3"" title=""South Park season 3"">third season</a> of the American animated television series <i><a href=""/wiki/South_Park"" title=""South Park"">South Park</a></i>, and the 37th episode overall of the series. It originally aired on <a href=""/wiki/Comedy_Central"" title=""Comedy Central"">Comedy Central</a> in the United States on July 7, 1999. In the episode, a school presentation on <a href=""/wiki/Sexual_harassment"" title=""Sexual harassment"">sexual harassment</a> prevention leads to <a href=""/wiki/Eric_Cartman"" title=""Eric Cartman"">Cartman</a> suing <a href=""/wiki/Stan_Marsh"" title=""Stan Marsh"">Stan</a> for sexual harassment, which in turn promotes a series of sexual harassment lawsuits across South Park.
</p>","['Stan', 'Kyle', 'Eric', 'Kenny', 'Gerald', 'Craig', 'Tweek', 'Ike', 'Jesus', 'Santa', 'Mr. Hankey', 'Pete']"
https://en.wikipedia.org/wiki/Wing_(South_Park),"<p>""<b>Wing</b>"" is the third episode in the <a href=""/wiki/South_Park_season_9"" title=""South Park season 9"">ninth season</a> of the American <a href=""/wiki/Animated_series"" title=""Animated series"">animated television series</a> <i><a href=""/wiki/South_Park"" title=""South Park"">South Park</a></i>. It was written by series co-creator <a href=""/wiki/Trey_Parker"" title=""Trey Parker"">Trey Parker</a> and first aired on <a href=""/wiki/Comedy_Central"" title=""Comedy Central"">Comedy Central</a> in the United States on March 23, 2005. The episode was the 128th overall and was named after <a href=""/wiki/New_Zealand"" title=""New Zealand"">New Zealand</a> singer <a href=""/wiki/Wing_(singer)"" title=""Wing (singer)"">Wing</a>, who stars in the episode in an eponymous part loosely based on herself. The message of the episode equates <a href=""/wiki/Talent_agent"" title=""Talent agent"">talent agents</a> to Chinese slave traders.<sup id=""cite_ref-Commentary_1-0"" class=""reference""><a href=""#cite_note-Commentary-1"">[1]</a></sup>
</p>","['Stan', 'Kyle', 'Eric', 'Kenny', 'Tolkien', 'Lu Kim']"
https://en.wikipedia.org/wiki/Super_Hard_PCness,"<p>""<b>Super Hard PCness</b>"" is the ninth episode of the <a href=""/wiki/South_Park_season_21"" title=""South Park season 21"">twenty-first season</a> of the American animated television series <i><a href=""/wiki/South_Park"" title=""South Park"">South Park</a></i>. The 286th overall episode of the series, it aired on <a href=""/wiki/Comedy_Central"" title=""Comedy Central"">Comedy Central</a> in the United States on November 29, 2017. This episode parodies <a href=""/wiki/Sexual_harassment_in_the_workplace_in_the_United_States"" title=""Sexual harassment in the workplace in the United States"">sexual harassment in the workplace in the United States</a>, the rise in <a href=""/wiki/Netflix#Original_programming"" title=""Netflix"">Netflix original shows</a>, <a href=""/wiki/Cancel_culture"" title=""Cancel culture"">cancel culture</a>, and the threat of <a href=""/wiki/Nuclear_war"" class=""mw-redirect"" title=""Nuclear war"">nuclear war</a>.
</p>","['Kyle', 'Eric', 'Gerald', 'Mr. Mackey', 'Terrance and Phillip', 'Heidi', 'PC Principal', 'Strong Woman', 'Sheila']"
https://en.wikipedia.org/wiki/Where_My_Country_Gone%3F,"<p>""<b>Where My Country Gone?</b>"" is the second episode of the <a href=""/wiki/South_Park_season_19"" title=""South Park season 19"">nineteenth season</a> of the animated television series <i><a href=""/wiki/South_Park"" title=""South Park"">South Park</a></i>, and the 259th episode overall, written and directed by series co-creator <a href=""/wiki/Trey_Parker"" title=""Trey Parker"">Trey Parker</a>. The episode premiered on <a href=""/wiki/Comedy_Central"" title=""Comedy Central"">Comedy Central</a> on September 23, 2015. It parodies <a href=""/wiki/Illegal_immigration_to_the_United_States"" title=""Illegal immigration to the United States"">illegal immigration to the United States</a> and the <a href=""/wiki/Donald_Trump_2016_presidential_campaign"" title=""Donald Trump 2016 presidential campaign"">2016 presidential candidacy</a> of <a href=""/wiki/Donald_Trump"" title=""Donald Trump"">Donald Trump</a>, along with <a href=""/wiki/Caitlyn_Jenner"" title=""Caitlyn Jenner"">Caitlyn Jenner</a> and <a href=""/wiki/Political_correctness"" title=""Political correctness"">political correctness</a>.
</p>","['Kyle', 'Eric', 'Butters', 'Craig', 'Tweek', 'PC Principal']"
